geographic_area,indicator,sex,year,child_labour_percentage,Collection_Point,coverage_time,age_group
Community of Sahel-Saharan States (CEN-SAD),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,19.9,End of fieldwork,2020-24,5 to 17 years old
Community of Sahel-Saharan States (CEN-SAD),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,22.6,End of fieldwork,2020-24,5 to 17 years old
Community of Sahel-Saharan States (CEN-SAD),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,21.2,End of fieldwork,2020-24,5 to 17 years old
Comoros,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,4.9,End of fieldwork,2022,5 to 17 years old
Comoros,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,6.7,End of fieldwork,2022,5 to 17 years old
Comoros,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,5.8,End of fieldwork,2022,5 to 17 years old
Côte d'Ivoire,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2022,13.3,End of fieldwork,2022,5 to 17 years old
Côte d'Ivoire,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2022,12.4,End of fieldwork,2022,5 to 17 years old
Côte d'Ivoire,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2022,12.8,End of fieldwork,2022,5 to 17 years old
Democratic Republic of the Congo,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,6.6,End of fieldwork,2023-24,5 to 17 years old
Democratic Republic of the Congo,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,8.3,End of fieldwork,2023-24,5 to 17 years old
Democratic Republic of the Congo,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,7.5,End of fieldwork,2023-24,5 to 17 years old
East African Community (EAC),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,20.1,End of fieldwork,2020-24,5 to 17 years old
East African Community (EAC),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,20.9,End of fieldwork,2020-24,5 to 17 years old
East African Community (EAC),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,20.5,End of fieldwork,2020-24,5 to 17 years old
East Asia and Pacific (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,2.794,End of fieldwork,2020-24,5 to 17 years old
East Asia and Pacific (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,3.525,End of fieldwork,2020-24,5 to 17 years old
East Asia and Pacific (UNICEF Rep.Regions),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,3.178,End of fieldwork,2020-24,5 to 17 years old
Eastern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,19.8,End of fieldwork,2020-24,5 to 17 years old
Eastern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,21.4,End of fieldwork,2020-24,5 to 17 years old
Eastern Africa (African Union),Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,20.6,End of fieldwork,2020-24,5 to 17 years old
